comment,source,title
1184,新京报,海南道教协会会长回应家族产业质疑：1993年买地便宜 仅花费6000万完成建设
258,纵相新闻,打板员被“打包”进集装箱上飞机，顺丰航空被罚了！
14,新京报政事儿,为境外刺探、窃取国家秘密，近日两加拿大公民被逮捕
3859,上海热线要闻,"""重庆公交坠江""半年就忘了？坐过站恼羞成怒，66岁大爷锁喉司机！"
24,澎湃新闻,杭州“女股神”巨亏，豪宅司法网拍流拍后降价六百万二拍成交
,中青在线,深入理解新发展理念
33,新京报,看完这部电影，最想知道海蒂的家乡在哪里
5,光明网,旅美20多年 大熊猫“白云”携子回国
219,环球网,普京: 若不损害国家根本利益，莫斯科愿寻求与欧洲达成妥协
223,NBD汽车,澄清声明来了！上海坍塌建筑不是奔驰4S店，相关部门正组织救援
,中国经济网,家庭药箱该如何配备？浙江医院推备药攻略
1,每日经济新闻,对话泰国驻成都总领事吴威德：一道菜碰撞两种文明 多方面激发合作动能
1,中青在线,中乌“合作-2019”联合反恐演练圆满结束
20,中国社会科学网,还有这种操作？美驻奥地利使馆把领事服务“外包”给麦当劳了！
432,安徽网,网友不满安徽省儿童医院支付方式单一获官方回复
,北京日报客户端,延庆通报2起严重违纪违法问题
59,界面新闻,首轮中央环保督察及“回头看”收官：罚款24.6亿，行政和刑事拘留2264人
1,新华社,俄奥领导人支持完成“北溪-2”管道建设
24,中国青年网,英国男子网站上预定酒店 到达后发现是个集装箱
,每日经济新闻,商务部发言人答每经记者问：中国支持对世贸组织进行必要改革 维护多边贸易体制
309,人民日报海外网,一位伊朗出租车司机的困惑：开个车咋就和核武器扯上了关系
,央视网新闻,美媒：纽约市长将参加2020总统选举 与记者关系不好
9,中国新闻网,四川自贡破获近年最大非法集资案 涉案金额逾5亿
17,新华社,"习近平致信祝贺第三届世界智能大会开幕强调
　　推动新一代人工智能健康发展
　　更好造福世界各国人民"
4,中国经济网,国内研究团队新成果：7亿年前谁让“雪球地球”解冻
1,中国新闻网,美将华为列入管制“实体名单” 中方回应
,东南网,“数字赋能”让城市更智慧、生活更美好
2,环球网,美媒：白宫将改革移民体系，实行“择优录取”
4,中国新闻网,长江最长盾构隧道即将开始主航道勘察施工
,央视网新闻,美交通部命令停飞往返美国与委内瑞拉之间的航班
70,澎湃新闻,孟安明院士：相当部分科学家向钱看追热点，应重视自由探索
25,参考消息,英国外交大臣：不想在华为问题上与中国展开“新冷战”
18,新华网客户端,河南官渡黄河大桥主桥合龙
9,新京报,消息人士称委内瑞拉政府和反对派将进行对话
2,环球时报,普京：希望俄罗斯空天军近期采购76架苏-57战机
